audio,issues
karuk-2010-07-23-ag-vs-3_05,V1 absent
karuk-2010-07-23-ag-vs-4_36,V1 absent
karuk-2010-07-23-ag-vs-4_37,V1 absent
karuk-2010-07-23-ag-vs-4_39,V1 absent
karuk-2010-07-23-ag-vs-4_40,V1 absent
karuk-2010-07-23-ag-vs-4_41,V1 absent
karuk-2010-10-25-sd-vs-2_26,V2 absent
karuk-2010-10-25-sd-vs-2_35,overlapping voice?
karuk-2011-12-21-vs-3_21,V1 absent
karuk-2011-12-21-vs-4_06,"word said very fast, can't segment"
karuk-2011-12-21-vs-5_24,beginning cut off
karuk-2012-03-31-vs-2b_01,V1 absent
karuk-2012-03-31-vs-2b_09,V1 absent?
karuk-2012-03-31-vs-2b_10,V1 absent
karuk-2015-04-18-vs-4_07,V1 absent
karuk-2015-04-18-vs-4_23,V1 absent
karuk-2015-04-18-vs-4_40,V1 absent
karuk-2015-04-18-vs-4_41,V1 absent
karuk-2015-04-21-vs-5_21b,V1 absent
karuk-2015-04-21-vs-5_24,something off
VS-24_05,V1 voiceless
VS-34b_07,V1 absent
VS-35b_15,V1 absent
VS-35b_16,V1 absent?
VS-35b_33,V1 absent
VS-39_03,V1 absent
VS-39_07,V1 absent
VS-41_09,V1 absent