audio,transcription,transcription_mfa,speaker,matched_words,sequences
karuk-2011-01-30-vs-1_28,ikiich vura ipishriivpeesh pataay i'aamtih.,ikiich vura ipishriivpeesh pataay iqaamtih,VS,ikiich,ikii
karuk-2010-10-25-sd-vs-1_18,Sally uum taay pamupusihich.,Sally uum taay pamupusihich,VS,pamupusihich,upu
karuk-2010-09-13-ag-vs-2_08,pananitaat karu tukeevniikichha.,pananitaat karu tukeevniikichha,VS,tukeevniikichha,iiki
karuk-2011-01-29-vs-1_22,vaa pananipusihich utapkuuputih.,vaa pananipusihich utapkuuputih,VS,utapkuuputih,uupu
karuk-2011-12-21-vs-3_07,naa vura nayikihitih.,naa vura nayikihitih,VS,nayikihitih,iki
karuk-2011-12-21-vs-3_08,iim hum iyikihitih?,iim hum iyikihitih,VS,iyikihitih,iki
karuk-2011-12-21-vs-3_09,naa nayikihitih.,naa nayikihitih,VS,nayikihitih,iki
karuk-2011-12-21-vs-7_10,uxus xaatik ni'itap.,uxus xaatik niqitap,VS,uxus,uxu
frog-12b-cut,"Pa'avansaxiich uxutih, "" Neexaychakisheesh paxanchiifich.""",Paqavansaxiich uxutih Neexaychakisheesh paxanchiifich,VS,uxutih,uxu
frog-16,Xas ikiich too kvurish.,Xas ikiich too kvurish,VS,ikiich,ikii
frog-16b,Ikiich too kvurish tuxus too pvaaram.,Ikiich too kvurish tuxus too pvaaram,VS,tuxus,uxu
karuk-2012-10-20-vs-4_B_14,ikiich.,ikiich,VS,ikiich,ikii
karuk-2012-10-20-vs-4_B_20,ikiich panamniik nivaarameesh.,ikiich panamniik nivaarameesh,VS,ikiich,ikii
karuk-2012-10-20-vs-4_C_03,ikiich tee xuriha.,ikiich tee xuriha,VS,ikiich,ikii
karuk-2012-10-20-vs-4_C_12,taak pasikih.,taak pasikih,VS,pasikih,iki
karuk-2012-10-20-vs-4_C_13,pasikih na'eehi.,pasikih naqeehi,VS,pasikih,iki
karuk-2012-10-20-vs-4_C_42,iikam voonupuk.,iikam voonupuk,VS,voonupuk,upu
karuk-2012-10-20-vs-4_D_23,iimkun ta kuxuriha?,iimkun ta kuxuriha,VS,kuxuriha,uxu
karuk-2012-10-20-vs-4_D_24,ta kuxuriha hum?,ta kuxuriha hum,VS,kuxuriha,uxu
karuk-2012-10-20-vs-4_D_41,chimi nupuunvi!,chimi nupuunvi,VS,nupuunvi,upuu
karuk-2012-10-20-vs-4_D_42,chi nupuunvi!,chi nupuunvi,VS,nupuunvi,upuu
karuk-2013-10-27-vs-2_04,ikiich uhyanavaraar muuk nuchuupheesh.,ikiich uhyanavaraar muuk nuchuupheesh,VS,ikiich,ikii
karuk-2013-10-27-vs-2_05,papakiihar karu nikiiheesh.,papakiihar karu nikiiheesh,VS,nikiiheesh,ikii
karuk-2015-04-21-vs-5_06,"xas uxuti kunish yiim niinamich papuufich, xas poo'uum xas vura uum pufichkaam.",xas uxuti kunish yiim niinamich papuufich xas pooquum xas vura uum pufichkaam,VS,uxuti,uxu
karuk-2015-04-21-vs-5_12,uxuti niinamich papuufich karu uum vura yiiv saruk xas.,uxuti niinamich papuufich karu uum vura yiiv saruk xas,VS,uxuti,uxu
karuk-2015-04-21-vs-5_13,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka.,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka,VS,"uxuti,ikiich","uxu,ikii"
karuk-2010-05-01-arg-edited-2_15,vaa muxuun.,vaa muxuun,VS,muxuun,uxuu
karuk-2010-05-01-arg-edited-2_43,ikiich vura xara vura ta nikrii.,ikiich vura xara vura ta nikrii,VS,ikiich,ikii
karuk-2010-05-01-arg-edited-2_56,pay vura uum uxutih iyunyuunhitih.,pay vura uum uxutih iyunyuunhitih,VS,uxutih,uxu
karuk-2015-04-18-vs-4_21,naa vura kunish keevniikich.,naa vura kunish keevniikich,VS,keevniikich,iiki
karuk-2015-04-18-vs-4_41,karu puxich tufurathfip.,karu puxich tufurathfip,VS,tufurathfip,ufu
karuk-2015-04-18-vs-4_44,ikiich pami'avansa teexviphuunish.,ikiich pamiqavansa teexviphuunish,VS,ikiich,ikii
karuk-2015-04-18-vs-4_45,ikiich apapkam vaa mi'asimnaam itxaariheen.,ikiich apapkam vaa miqasimnaam itxaariheen,VS,ikiich,ikii
VS-34a_45,ikiich too xuriha.,ikiich too xuriha,VS,ikiich,ikii
VS-35b_08,ta nayikiha,ta nayikiha,VS,nayikiha,iki
VS-35b_16,vura uum puxich ta nayikiha.,vura uum puxich ta nayikiha,VS,nayikiha,iki
VS-35b_37,tukeevniikichha.,tukeevniikichha,VS,tukeevniikichha,iiki
VS-37_16,pananikiit iin neepsharavrikeesh.,pananikiit iin neepsharavrikeesh,VS,pananikiit,ikii
VS-38_02,hooy pamisikih?,hooy pamisikih,VS,pamisikih,iki